id,bedrooms,bathrooms,sqft,latitude,longitude,cat,dog,parking,cooling,heating,zestimate,type,laundry,price
70352723.0,4.0,3.0,3444.0,30.36474,-97.90559,1,1,4.0,Central,Forced air,3500.0,Single Family,Contact manager,4000
83826362.0,4.0,3.0,4634.0,,,1,1,2.0,Central,Forced air,2600.0,Single Family,In Unit,7900
2080535133.0,1.0,1.0,730.0,30.231146999999996,-97.881124,1,1,,Other,Forced air,,Multi Family,In Unit,1299
29480277.0,3.0,1.0,1048.0,30.220482,-97.773628,1,1,1.0,Central,Forced air,1750.0,Single Family,Contact manager,1900
2090305760.0,3.0,2.0,1590.0,,,1,1,1.0,Central,Forced air,2000.0,Condo,In Unit,2395
251033886.0,3.0,3.0,1667.0,30.135635999999998,-97.762752,1,1,2.0,Central,Forced air,1850.0,Single Family,In Unit,1795
29407286.0,3.0,1.0,1008.0,30.313209999999998,-97.68329,1,1,1.0,Central,Forced air,1700.0,Single Family,Contact manager,2000
29419080.0,2.0,1.0,1250.0,30.346179,-97.72675699999999,1,1,,Other,Forced air,2095.0,Single Family,In Unit,1995
29385877.0,2.0,2.0,1011.0,30.270564,-97.749004,1,1,2.0,Central,Forced air,2150.0,Condo,In Unit,2500
29401324.0,1.0,1.0,399.0,30.309099,-97.72845600000001,0,0,,Central,Forced air,950.0,Condo,Contact manager,1050
29509105.0,3.0,3.0,1895.0,30.180576000000002,-97.802836,1,1,1.0,Other,Forced air,1795.0,Single Family,In Unit,1785
2080367945.0,,1.0,400.0,30.393731,-97.91816999999999,0,0,,Other,Forced air,,Single Family,Shared,900
2090750563.0,3.0,2.0,1858.0,30.34846,-98.01487,0,0,2.0,Other,Forced air,2300.0,Townhouse,In Unit,2895
2080387429.0,3.0,2.0,2328.0,,,1,1,2.0,Central,Forced air,,Condo,Contact manager,3800
124843551.0,3.0,2.0,1557.0,30.332397999999998,-97.736384,1,0,3.0,Central,Forced air,2600.0,Condo,In Unit,2950
29481617.0,4.0,2.0,2300.0,30.225208000000002,-97.870303,0,0,2.0,Central,Forced air,2575.0,Single Family,In Unit,2800
29385282.0,1.0,1.0,1000.0,30.246610999999998,-97.77476800000001,0,1,,Central,Forced air,1850.0,Single Family,In Unit,1995
124844233.0,4.0,2.0,3025.0,30.356407,-97.62206,1,1,2.0,Central,Forced air,2000.0,Single Family,In Unit,2250
94642786.0,2.0,1.0,938.0,30.259914000000002,-97.730427,0,0,2.0,Central,Forced air,2300.0,Single Family,In Unit,3400
29494754.0,3.0,2.0,1250.0,30.198565999999996,-97.796921,0,1,2.0,Central,Forced air,1700.0,Single Family,In Unit,2500
70337388.0,4.0,3.0,4243.0,30.363908000000002,-97.89372900000001,1,1,2.0,Central,Forced air,3200.0,Single Family,Contact manager,3900
29389207.0,1.0,1.0,450.0,30.26084,-97.72639000000001,1,1,1.0,Central,Forced air,2200.0,Single Family,Contact manager,1800
2080628939.0,2.0,2.0,1100.0,,,0,0,,Other,Forced air,,Apartment,Contact manager,1325
2102949319.0,2.0,1.0,1575.0,30.309222,-97.723434,1,1,1.0,Central,Forced air,1600.0,Multi Family,Contact manager,1675
124836154.0,4.0,2.0,2632.0,30.360447999999998,-97.95172600000001,1,1,2.0,Central,Forced air,2300.0,Condo,Contact manager,2500
2120292466.0,3.0,2.0,1310.0,30.279486,-97.683525,1,1,,Other,Forced air,1850.0,Apartment,In Unit,2185
29353770.0,2.0,2.0,1190.0,,,1,1,1.0,Central,Forced air,1973.0,Single Family,Contact manager,1695
2080687322.0,2.0,2.0,1400.0,30.383175,-97.879674,0,0,,Other,Forced air,,Apartment,In Unit,3000
29345078.0,3.0,2.0,1412.0,30.343617,-97.863734,0,1,2.0,Central,Forced air,1995.0,Single Family,Contact manager,2395
29400695.0,3.0,3.0,2052.0,30.302458,-97.721676,1,1,1.0,Central,Forced air,2500.0,Condo,In Unit,2495
29327427.0,1.0,1.0,876.0,30.274462,-97.75571,1,1,,Central,Forced air,1975.0,Condo,In Unit,2100
2098013970.0,3.0,2.0,1360.0,30.367062,-97.977559,0,0,2.0,Central,Forced air,1650.0,Multi Family,Contact manager,1595
2080518585.0,3.0,2.0,1967.0,30.249083000000002,-97.89425200000001,1,1,,Other,Forced air,,Apartment,Contact manager,3200
58305248.0,3.0,2.0,1660.0,30.415017,-97.72655400000001,1,1,2.0,Central,Forced air,1895.0,Single Family,Contact manager,2175
70345610.0,3.0,2.0,1272.0,30.233496999999996,-97.589054,0,1,2.0,Central,Forced air,1480.0,Single Family,Contact manager,1480
29364615.0,3.0,1.0,1974.0,30.404428999999997,-97.911335,1,1,1.0,Central,Forced air,2514.0,Single Family,In Unit,5000
29505053.0,4.0,2.0,2945.0,30.189403000000002,-97.897091,1,1,2.0,Central,Forced air,2500.0,Single Family,Contact manager,2645
29390173.0,3.0,2.0,2054.0,30.280651000000002,-97.704784,0,0,2.0,Other,Forced air,2450.0,Single Family,In Unit,2700
64527149.0,3.0,2.0,1457.0,30.408012,-97.91818,1,1,2.0,Central,Forced air,1850.0,Single Family,Contact manager,1850
29566537.0,3.0,2.0,1759.0,30.458158,-97.812407,1,1,2.0,Central,Forced air,1695.0,Single Family,Contact manager,1895
251028975.0,2.0,2.0,951.0,30.259697999999997,-97.71570600000001,1,1,,Central,Forced air,2800.0,Multi Family,In Unit,2850
