"311 W 5th St UNIT 807, Austin, TX 78701","{'/showPropertyInfo.do?account=03103804020201', '/showPropertyInfo.do?account=02355906030202', '/showPropertyInfo.do?account=02356219010202', '/showPropertyInfo.do?account=03078002180201', '/showPropertyInfo.do?account=02679902030201', '/showPropertyInfo.do?account=90490630000000', '/showPropertyInfo.do?account=02355903030201', '/showPropertyInfo.do?account=02355906030204', '/showPropertyInfo.do?account=01061610010000', '/showPropertyInfo.do?account=02107001060203'}"
"555 E 5th St, Austin, TX 78701","{'/showPropertyInfo.do?account=01846002060201', '/showPropertyInfo.do?account=04230602270504', '/showPropertyInfo.do?account=04402502030203', '/showPropertyInfo.do?account=02355906060201', '/showPropertyInfo.do?account=04230602270559', '/showPropertyInfo.do?account=02118201090201', '/showPropertyInfo.do?account=02138201210202', '/showPropertyInfo.do?account=04230602270563', '/showPropertyInfo.do?account=04230602270554', '/showPropertyInfo.do?account=02138201160000'}"
"501 West Ave APT 1704, Austin, TX 78701","{'/showPropertyInfo.do?account=01070033050000', '/showPropertyInfo.do?account=01070033060000', '/showPropertyInfo.do?account=01070033090000', '/showPropertyInfo.do?account=01070033110000', '/showPropertyInfo.do?account=01070033020000', '/showPropertyInfo.do?account=01070033040000', '/showPropertyInfo.do?account=01070033030000', '/showPropertyInfo.do?account=01070033070000', '/showPropertyInfo.do?account=01070033100000', '/showPropertyInfo.do?account=01070033080000'}"
"200 Congress Ave UNIT 44J, Austin, TX","{'/showPropertyInfo.do?account=04050305100220', '/showPropertyInfo.do?account=04050305100222', '/showPropertyInfo.do?account=04050305100225', '/showPropertyInfo.do?account=04050305100227', '/showPropertyInfo.do?account=04050305100224', '/showPropertyInfo.do?account=04050305100229', '/showPropertyInfo.do?account=04050305100216', '/showPropertyInfo.do?account=04050305100206', '/showPropertyInfo.do?account=04050305100228', '/showPropertyInfo.do?account=04050305100203'}"
"507 Sabine St APT 708, Austin, TX 78701","{'/showPropertyInfo.do?account=02060422100000', '/showPropertyInfo.do?account=02060422050000', '/showPropertyInfo.do?account=02060422070000', '/showPropertyInfo.do?account=02060422090000', '/showPropertyInfo.do?account=02060422110000', '/showPropertyInfo.do?account=02060422040000', '/showPropertyInfo.do?account=02060422020000', '/showPropertyInfo.do?account=02060422080000', '/showPropertyInfo.do?account=02060422060000', '/showPropertyInfo.do?account=02060422030000'}"
"44 East Ave # 2806, Austin, TX 78701","{'/showPropertyInfo.do?account=99101060000000', '/showPropertyInfo.do?account=98266760000000', '/showPropertyInfo.do?account=99101070000000', '/showPropertyInfo.do?account=98266770000000', '/showPropertyInfo.do?account=02030309300000', '/showPropertyInfo.do?account=99034450000000', '/showPropertyInfo.do?account=90143510000000'}"
"908 Nueces St UNIT 16, Austin, TX 78701","{'/showPropertyInfo.do?account=02080022020000', '/showPropertyInfo.do?account=02080022100000', '/showPropertyInfo.do?account=02080022050000', '/showPropertyInfo.do?account=02080022110000', '/showPropertyInfo.do?account=02080022040000', '/showPropertyInfo.do?account=02080022070000', '/showPropertyInfo.do?account=02080022060000', '/showPropertyInfo.do?account=02080022090000', '/showPropertyInfo.do?account=02080022080000', '/showPropertyInfo.do?account=02080022030000'}"
"360 Nueces St APT 4302, Austin, TX 78701","{'/showPropertyInfo.do?account=01070025080000', '/showPropertyInfo.do?account=01070025110000', '/showPropertyInfo.do?account=01070025050000', '/showPropertyInfo.do?account=01070025100000', '/showPropertyInfo.do?account=01070025090000', '/showPropertyInfo.do?account=01070025030000', '/showPropertyInfo.do?account=01070025020000', '/showPropertyInfo.do?account=01070025040000', '/showPropertyInfo.do?account=01070025070000', '/showPropertyInfo.do?account=01070025060000'}"
"222 West Ave UNIT 2508, Austin, TX 78701","{'/showPropertyInfo.do?account=01050012050002', '/showPropertyInfo.do?account=01050012030001', '/showPropertyInfo.do?account=01050012020000', '/showPropertyInfo.do?account=01050012060000', '/showPropertyInfo.do?account=01050012080000', '/showPropertyInfo.do?account=01050012030000', '/showPropertyInfo.do?account=01050013020000', '/showPropertyInfo.do?account=01050012050000', '/showPropertyInfo.do?account=01050012050001', '/showPropertyInfo.do?account=01050013010000'}"
"70 Rainey St APT 1709, Austin, TX 78701","{'/showPropertyInfo.do?account=02030318040000', '/showPropertyInfo.do?account=02030319040000', '/showPropertyInfo.do?account=02030319070000', '/showPropertyInfo.do?account=02030319080000', '/showPropertyInfo.do?account=02030319030000', '/showPropertyInfo.do?account=02030319060000', '/showPropertyInfo.do?account=02030319050000', '/showPropertyInfo.do?account=02030318030000', '/showPropertyInfo.do?account=02030319010000', '/showPropertyInfo.do?account=02030319020000'}"
"52CD Plan, The Austonian","set()"
"210 Lavaca St APT 3603, Austin, TX 78701","{'/showPropertyInfo.do?account=02050114130000', '/showPropertyInfo.do?account=02050114150000', '/showPropertyInfo.do?account=02050114180000', '/showPropertyInfo.do?account=02050114170000', '/showPropertyInfo.do?account=02050114120000', '/showPropertyInfo.do?account=02050114160000', '/showPropertyInfo.do?account=02050114190000', '/showPropertyInfo.do?account=02050114210000', '/showPropertyInfo.do?account=02050114200000', '/showPropertyInfo.do?account=02050114140000'}"
"54 Rainey St APT 1018, Austin, TX 78701","{'/showPropertyInfo.do?account=02030312080000', '/showPropertyInfo.do?account=02030312110000', '/showPropertyInfo.do?account=02030312030000', '/showPropertyInfo.do?account=02030312090000', '/showPropertyInfo.do?account=02030312060000', '/showPropertyInfo.do?account=02030312020000', '/showPropertyInfo.do?account=02030312100000', '/showPropertyInfo.do?account=02030312040000', '/showPropertyInfo.do?account=02030312050000', '/showPropertyInfo.do?account=02030312070000'}"
"1812 West Ave SUITE 307, Austin, TX 78701","{'/showPropertyInfo.do?account=02110112030000', '/showPropertyInfo.do?account=02110112100000', '/showPropertyInfo.do?account=02110112090000', '/showPropertyInfo.do?account=02110112070000', '/showPropertyInfo.do?account=02110112050000', '/showPropertyInfo.do?account=02110112060000', '/showPropertyInfo.do?account=02110112110000', '/showPropertyInfo.do?account=02110112040000', '/showPropertyInfo.do?account=02110112020000', '/showPropertyInfo.do?account=02110112080000'}"
"360 Nueces St APT 1010, Austin, TX 78701","{'/showPropertyInfo.do?account=01070025080000', '/showPropertyInfo.do?account=01070025110000', '/showPropertyInfo.do?account=01070025050000', '/showPropertyInfo.do?account=01070025100000', '/showPropertyInfo.do?account=01070025090000', '/showPropertyInfo.do?account=01070025030000', '/showPropertyInfo.do?account=01070025020000', '/showPropertyInfo.do?account=01070025040000', '/showPropertyInfo.do?account=01070025070000', '/showPropertyInfo.do?account=01070025060000'}"
